metric,wikis,wikis_luna,wikis_luna-reasoning,wikis_c,wikis_c_luna,wikis_c_luna-reasoning
directory,wikis,wikis_luna,wikis_luna-reasoning,wikis_c,wikis_c_luna,wikis_c_luna-reasoning
compiler model,gpt-4o-mini,gpt-5.6-luna,gpt-5.6-luna,gpt-4o-mini,gpt-5.6-luna,gpt-5.6-luna
compiler version,,b2,b2,c1,c1,c1
build fingerprint,9ad622199c7e,9ad622199c7e,9ad622199c7e,9884fea0ef28,9884fea0ef28,9884fea0ef28
conversations,10,10,10,10,10,10
sessions compiled,272,272,272,272,272,272
pages,287,341,632,233,332,621
person pages,19,31,27,22,30,26
event pages,81,112,244,52,106,262
topic pages,187,198,361,159,196,333
facts,2938,4462,4709,2925,4644,5029
facts per page,10.236933797909408,13.085043988269796,7.450949367088608,12.553648068669528,13.987951807228916,8.098228663446054
facts per conversation,293.8,446.2,470.9,292.5,464.4,502.9
person-page share of facts,0.15418652144315861,0.0972658000896459,0.036313442344446806,0.27282051282051284,0.08828596037898363,0.036786637502485585
generic titles (facts re-filed),49,0,0,91,0,0
generic titles (pages left),2,0,0,1,0,0
duplicate facts dropped,0,22,27,0,18,19
salvaged sessions,6,0,0,0,3,0
unparsable sessions,0,0,0,0,0,0
empty sessions,0,0,0,0,0,0
truncated sessions,0,0,0,0,3,0
wiki tokens,75391,105000,116516,94973,134673,152157
compression (wiki/raw),0.38235771450596934,0.5325245722052603,0.5909298386196963,0.4816710113909542,0.6830160163104669,0.7716889650765314
chunks,469,576,809,505,711,943
mean chunk tokens,161.98720682302772,171.44270833333334,128.61310259579727,184.07128712871287,185.46554149085796,152.10604453870624
compile calls,272,272,272,272,272,272
compile prompt tokens,407677,417883,440619,468644,482894,504150
compile completion tokens,87700,109474,302032,129341,152418,408957
compile cost $,0.11377155000000001,0.2149454,0.45056219999999997,0.14790119999999998,0.2794804,0.5915784
compile latency s,823.1559667995898,1022.3874697955325,4527.459153697171,1154.0651372976135,1236.5848207995296,4831.306033400237
citations,0,0,0,3035,4956,5298
citations per fact,,,,1.0376068376068377,1.0671834625322998,1.0534897593955062
citation resolvability,,,,1.0,1.0,1.0
citation session consistency,,,,1.0,1.0,1.0
other-session citations,,,,0,0,0
nonexistent citations,,,,0,0,0
facts with no citation,,,,0,0,0
