conv_id,pages,person,event,topic,facts,sessions,raw_tokens,wiki_tokens,compression,compile_cost_usd,salvaged,unparsable,empty,truncated,generic_titles
conv-26,16,2,4,10,212,19,15971,5226,0.3272,0.0084,1,0,0,0,22
conv-30,14,2,6,6,210,19,11954,5081,0.425,0.0074,0,0,0,0,0
conv-41,29,2,8,19,324,32,22976,8333,0.3627,0.013,0,0,0,0,2
conv-42,22,2,3,17,311,29,19990,7682,0.3843,0.0118,0,0,0,0,1
conv-43,42,3,13,26,321,29,23090,8376,0.3628,0.0131,0,0,0,0,1
conv-44,31,2,9,20,317,28,22587,8311,0.368,0.0123,0,0,0,0,4
conv-47,53,2,14,37,363,31,21153,9446,0.4466,0.013,2,0,0,0,3
conv-48,38,2,11,25,360,30,21003,9701,0.4619,0.0135,2,0,0,0,0
conv-49,13,1,3,9,226,25,16933,5737,0.3388,0.0093,0,0,0,0,9
conv-50,29,1,10,18,294,30,21517,7498,0.3485,0.012,1,0,0,0,7
